Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.56
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:,0.0,1.0
Calibration Channels:,373,630
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,155.52
Elapsed Live Time:,150.0
Start Time:,March 06, 2026, 02:19:22
End Time:,March 06, 2026, 02:21:58
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,0.0,0
1,1.0,0
2,2.0,0
3,3.0,0
4,4.0,0
5,5.0,0
6,6.0,0
7,7.0,0
8,8.0,0
9,9.0,0
10,10.0,0
11,11.0,1
12,12.0,1
13,13.0,1
14,14.0,0
15,15.0,113
16,16.0,631
17,17.0,573
18,18.0,604
19,19.0,556
20,20.0,642
21,21.0,635
22,22.0,635
23,23.0,771
24,24.0,834
25,25.0,893
26,26.0,997
27,27.0,1124
28,28.0,1250
29,29.0,1340
30,30.0,1614
31,31.0,1844
32,32.0,2139
33,33.0,2761
34,34.0,3491
35,35.0,4731
36,36.0,6167
37,37.0,8475
38,38.0,11865
39,39.0,14709
40,40.0,17642
41,41.0,18799
42,42.0,17397
43,43.0,15115
44,44.0,11923
45,45.0,9444
46,46.0,7416
47,47.0,6361
48,48.0,5530
49,49.0,4910
50,50.0,4109
51,51.0,3179
52,52.0,2419
53,53.0,1697
54,54.0,1170
55,55.0,843
56,56.0,661
57,57.0,513
58,58.0,450
59,59.0,442
60,60.0,399
61,61.0,403
62,62.0,427
63,63.0,394
64,64.0,403
65,65.0,387
66,66.0,386
67,67.0,397
68,68.0,398
69,69.0,453
70,70.0,478
71,71.0,505
72,72.0,477
73,73.0,542
74,74.0,606
75,75.0,688
76,76.0,766
77,77.0,847
78,78.0,946
79,79.0,981
80,80.0,923
81,81.0,950
82,82.0,950
83,83.0,910
84,84.0,956
85,85.0,941
86,86.0,969
87,87.0,924
88,88.0,1010
89,89.0,1021
90,90.0,1171
91,91.0,1207
92,92.0,1132
93,93.0,1170
94,94.0,1080
95,95.0,1042
96,96.0,1006
97,97.0,1015
98,98.0,947
99,99.0,832
100,100.0,826
101,101.0,762
102,102.0,740
103,103.0,669
104,104.0,610
105,105.0,640
106,106.0,610
107,107.0,593
108,108.0,574
109,109.0,591
110,110.0,600
111,111.0,571
112,112.0,621
113,113.0,653
114,114.0,672
115,115.0,727
116,116.0,882
117,117.0,927
118,118.0,1100
119,119.0,1366
120,120.0,1650
121,121.0,1952
122,122.0,2510
123,123.0,2945
124,124.0,3544
125,125.0,4004
126,126.0,4638
127,127.0,5288
128,128.0,5697
129,129.0,5948
130,130.0,5814
131,131.0,5691
132,132.0,5403
133,133.0,4811
134,134.0,4169
135,135.0,3655
136,136.0,3146
137,137.0,2537
138,138.0,1987
139,139.0,1642
140,140.0,1228
141,141.0,1048
142,142.0,852
143,143.0,717
144,144.0,574
145,145.0,528
146,146.0,504
147,147.0,448
148,148.0,427
149,149.0,436
150,150.0,414
151,151.0,402
152,152.0,421
153,153.0,367
154,154.0,371
155,155.0,417
156,156.0,413
157,157.0,420
158,158.0,414
159,159.0,422
160,160.0,390
161,161.0,440
162,162.0,431
163,163.0,429
164,164.0,466
165,165.0,467
166,166.0,467
167,167.0,512
168,168.0,523
169,169.0,556
170,170.0,560
171,171.0,588
