Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.56
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:,0.0,1.0
Calibration Channels:,373,630
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,155.55
Elapsed Live Time:,150.0
Start Time:,March 06, 2026, 02:11:40
End Time:,March 06, 2026, 02:14:15
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,0.0,0
1,1.0,0
2,2.0,0
3,3.0,0
4,4.0,0
5,5.0,0
6,6.0,0
7,7.0,0
8,8.0,0
9,9.0,0
10,10.0,0
11,11.0,0
12,12.0,2
13,13.0,0
14,14.0,0
15,15.0,108
16,16.0,631
17,17.0,553
18,18.0,602
19,19.0,568
20,20.0,574
21,21.0,611
22,22.0,643
23,23.0,739
24,24.0,804
25,25.0,971
26,26.0,1028
27,27.0,1167
28,28.0,1237
29,29.0,1426
30,30.0,1606
31,31.0,1911
32,32.0,2359
33,33.0,2810
34,34.0,3522
35,35.0,4828
36,36.0,6469
37,37.0,8772
38,38.0,11888
39,39.0,15167
40,40.0,17993
41,41.0,18691
42,42.0,17772
43,43.0,15207
44,44.0,11924
45,45.0,9218
46,46.0,7298
47,47.0,6334
48,48.0,5511
49,49.0,4841
50,50.0,4040
51,51.0,3155
52,52.0,2279
53,53.0,1608
54,54.0,1113
55,55.0,825
56,56.0,640
57,57.0,579
58,58.0,494
59,59.0,467
60,60.0,421
61,61.0,414
62,62.0,416
63,63.0,416
64,64.0,388
65,65.0,423
66,66.0,419
67,67.0,379
68,68.0,416
69,69.0,427
70,70.0,485
71,71.0,473
72,72.0,539
73,73.0,526
74,74.0,651
75,75.0,669
76,76.0,787
77,77.0,869
78,78.0,935
79,79.0,899
80,80.0,1009
81,81.0,988
82,82.0,990
83,83.0,987
84,84.0,914
85,85.0,934
86,86.0,990
87,87.0,1027
88,88.0,1062
89,89.0,1048
90,90.0,1169
91,91.0,1179
92,92.0,1136
93,93.0,1103
94,94.0,1167
95,95.0,1073
96,96.0,996
97,97.0,989
98,98.0,917
99,99.0,855
100,100.0,807
101,101.0,746
102,102.0,695
103,103.0,625
104,104.0,635
105,105.0,621
106,106.0,631
107,107.0,575
108,108.0,600
109,109.0,591
110,110.0,586
111,111.0,572
112,112.0,628
113,113.0,662
114,114.0,735
115,115.0,743
116,116.0,825
117,117.0,957
118,118.0,1148
119,119.0,1360
120,120.0,1639
121,121.0,2082
122,122.0,2532
123,123.0,3055
124,124.0,3758
125,125.0,4402
126,126.0,4925
127,127.0,5266
128,128.0,5754
129,129.0,5749
130,130.0,5850
131,131.0,5645
132,132.0,5221
133,133.0,4856
134,134.0,4362
135,135.0,3542
136,136.0,2975
137,137.0,2494
138,138.0,1931
139,139.0,1646
140,140.0,1259
141,141.0,945
142,142.0,761
143,143.0,699
144,144.0,647
145,145.0,557
146,146.0,487
147,147.0,491
148,148.0,445
149,149.0,399
150,150.0,400
151,151.0,416
152,152.0,414
153,153.0,409
154,154.0,384
155,155.0,398
156,156.0,377
157,157.0,391
158,158.0,416
159,159.0,410
160,160.0,438
161,161.0,380
162,162.0,409
163,163.0,451
164,164.0,454
165,165.0,505
166,166.0,460
167,167.0,516
168,168.0,510
169,169.0,559
170,170.0,585
171,171.0,599
