Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.53
Upper Discriminator:,1047
Lower Discriminator:,11
Calibration Coefficients:,-2.054054054054049,1.0015898251192368
Calibration Channels:,373,630
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,164.45
Elapsed Live Time:,150.0
Start Time:,March 05, 2026, 04:17:00
End Time:,March 05, 2026, 04:19:45
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,-2.054054054054049,0
1,-1.0524642289348123,0
2,-0.05087440381557551,0
3,0.950715421303661,0
4,1.952305246422898,0
5,2.953895071542135,0
6,3.955484896661371,0
7,4.957074721780608,0
8,5.958664546899845,0
9,6.960254372019081,0
10,7.961844197138319,0
11,8.963434022257555,3
12,9.965023847376791,3
13,10.96661367249603,2
14,11.968203497615265,7
15,12.969793322734503,295
16,13.97138314785374,1444
17,14.972972972972975,1620
18,15.974562798092212,1740
19,16.97615262321145,1796
20,17.977742448330687,2083
21,18.979332273449923,2537
22,19.98092209856916,2933
23,20.982511923688396,4014
24,21.984101748807632,5799
25,22.98569157392687,9693
26,23.987281399046108,17421
27,24.988871224165344,32471
28,25.99046104928458,53941
29,26.992050874403816,75848
30,27.993640699523056,89341
31,28.99523052464229,84703
32,29.996820349761528,68091
33,30.998410174880767,48314
34,32.0,32424
35,33.00158982511924,21962
36,34.00317965023847,15195
37,35.00476947535771,10568
38,36.00635930047695,6554
39,37.007949125596184,4120
40,38.009538950715424,2679
41,39.011128775834656,1893
42,40.012718600953896,1510
43,41.014308426073136,1427
44,42.01589825119237,1460
45,43.01748807631161,1618
46,44.01907790143084,1720
47,45.02066772655008,1919
48,46.02225755166931,2092
49,47.02384737678855,2314
50,48.02543720190779,2447
51,49.027027027027025,2839
52,50.028616852146264,3004
53,51.0302066772655,3154
54,52.031796502384736,3222
55,53.033386327503976,3224
56,54.03497615262321,3181
57,55.03656597774245,2987
58,56.03815580286168,2928
59,57.03974562798092,2764
