Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.56
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:,0.0,1.0
Calibration Channels:,373,630
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,151.5
Elapsed Live Time:,150.0
Start Time:,March 06, 2026, 02:01:36
End Time:,March 06, 2026, 02:04:07
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,0.0,0
1,1.0,0
2,2.0,0
3,3.0,0
4,4.0,0
5,5.0,0
6,6.0,0
7,7.0,0
8,8.0,0
9,9.0,0
10,10.0,0
11,11.0,0
12,12.0,0
13,13.0,0
14,14.0,0
15,15.0,8
16,16.0,68
17,17.0,68
18,18.0,87
19,19.0,72
20,20.0,95
21,21.0,104
22,22.0,126
23,23.0,125
24,24.0,107
25,25.0,132
26,26.0,145
27,27.0,201
28,28.0,230
29,29.0,279
30,30.0,314
31,31.0,317
32,32.0,269
33,33.0,249
34,34.0,265
35,35.0,200
36,36.0,203
37,37.0,192
38,38.0,198
39,39.0,247
40,40.0,252
41,41.0,227
42,42.0,217
43,43.0,217
44,44.0,180
45,45.0,177
46,46.0,149
47,47.0,139
48,48.0,148
49,49.0,123
50,50.0,135
51,51.0,131
52,52.0,122
53,53.0,133
54,54.0,121
55,55.0,110
56,56.0,124
57,57.0,135
58,58.0,128
59,59.0,133
60,60.0,157
61,61.0,141
62,62.0,131
63,63.0,158
64,64.0,142
65,65.0,167
66,66.0,163
67,67.0,171
68,68.0,173
69,69.0,184
70,70.0,183
71,71.0,220
72,72.0,253
73,73.0,266
74,74.0,303
75,75.0,343
76,76.0,399
77,77.0,424
78,78.0,463
79,79.0,478
80,80.0,500
81,81.0,529
82,82.0,489
83,83.0,490
84,84.0,481
85,85.0,485
86,86.0,523
87,87.0,546
88,88.0,538
89,89.0,596
90,90.0,633
91,91.0,660
92,92.0,671
93,93.0,706
94,94.0,679
95,95.0,632
96,96.0,647
97,97.0,628
98,98.0,586
99,99.0,514
100,100.0,488
101,101.0,446
102,102.0,463
103,103.0,455
104,104.0,457
105,105.0,393
106,106.0,425
107,107.0,412
108,108.0,381
109,109.0,390
110,110.0,391
111,111.0,391
112,112.0,383
113,113.0,449
114,114.0,436
115,115.0,486
116,116.0,583
117,117.0,715
118,118.0,810
119,119.0,1070
120,120.0,1279
121,121.0,1641
122,122.0,2120
123,123.0,2477
124,124.0,3107
125,125.0,3647
126,126.0,4175
127,127.0,4696
128,128.0,5080
129,129.0,5410
130,130.0,5432
131,131.0,5248
132,132.0,4990
133,133.0,4607
134,134.0,3959
135,135.0,3486
136,136.0,2968
137,137.0,2487
138,138.0,1941
139,139.0,1724
140,140.0,1448
141,141.0,1172
142,142.0,1036
143,143.0,933
144,144.0,840
145,145.0,693
146,146.0,694
147,147.0,625
148,148.0,567
149,149.0,543
150,150.0,399
151,151.0,363
152,152.0,329
153,153.0,252
154,154.0,212
155,155.0,211
156,156.0,176
157,157.0,127
158,158.0,116
159,159.0,81
160,160.0,82
161,161.0,92
162,162.0,85
163,163.0,87
164,164.0,90
165,165.0,77
166,166.0,68
167,167.0,81
168,168.0,82
169,169.0,65
170,170.0,55
171,171.0,70
172,172.0,79
173,173.0,88
174,174.0,85
175,175.0,77
