Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.56
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:,0.0,1.0
Calibration Channels:,373,630
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,151.21
Elapsed Live Time:,150.0
Start Time:,March 06, 2026, 01:44:43
End Time:,March 06, 2026, 01:47:15
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,0.0,0
1,1.0,0
2,2.0,0
3,3.0,0
4,4.0,0
5,5.0,0
6,6.0,0
7,7.0,0
8,8.0,0
9,9.0,0
10,10.0,0
11,11.0,0
12,12.0,0
13,13.0,0
14,14.0,0
15,15.0,6
16,16.0,22
17,17.0,34
18,18.0,33
19,19.0,41
20,20.0,41
21,21.0,36
22,22.0,64
23,23.0,55
24,24.0,66
25,25.0,60
26,26.0,72
27,27.0,68
28,28.0,82
29,29.0,97
30,30.0,93
31,31.0,82
32,32.0,102
33,33.0,102
34,34.0,101
35,35.0,104
36,36.0,110
37,37.0,105
38,38.0,121
39,39.0,119
40,40.0,96
41,41.0,84
42,42.0,100
43,43.0,93
44,44.0,89
45,45.0,96
46,46.0,90
47,47.0,87
48,48.0,88
49,49.0,65
50,50.0,65
51,51.0,83
52,52.0,72
53,53.0,74
54,54.0,61
55,55.0,72
56,56.0,62
57,57.0,80
58,58.0,74
59,59.0,76
60,60.0,84
61,61.0,102
62,62.0,83
63,63.0,93
64,64.0,79
65,65.0,105
66,66.0,116
67,67.0,109
68,68.0,116
69,69.0,135
70,70.0,130
71,71.0,138
72,72.0,172
73,73.0,198
74,74.0,247
75,75.0,241
76,76.0,313
77,77.0,318
78,78.0,383
79,79.0,392
80,80.0,451
81,81.0,384
82,82.0,390
83,83.0,380
84,84.0,379
85,85.0,351
86,86.0,331
87,87.0,419
88,88.0,450
89,89.0,445
90,90.0,512
91,91.0,537
92,92.0,595
93,93.0,623
94,94.0,644
95,95.0,632
96,96.0,578
97,97.0,562
98,98.0,549
99,99.0,520
100,100.0,488
101,101.0,465
102,102.0,420
103,103.0,406
104,104.0,407
105,105.0,384
106,106.0,394
107,107.0,346
108,108.0,369
109,109.0,359
110,110.0,316
111,111.0,349
112,112.0,350
113,113.0,380
114,114.0,395
115,115.0,465
116,116.0,507
117,117.0,630
118,118.0,713
119,119.0,876
120,120.0,1136
121,121.0,1390
122,122.0,1801
123,123.0,2289
124,124.0,2763
125,125.0,3316
126,126.0,3849
127,127.0,4364
128,128.0,4898
129,129.0,5052
130,130.0,5415
131,131.0,5266
132,132.0,5075
133,133.0,4754
134,134.0,4180
135,135.0,3658
136,136.0,3142
137,137.0,2538
138,138.0,2206
139,139.0,1748
140,140.0,1475
141,141.0,1230
142,142.0,1133
143,143.0,937
144,144.0,812
145,145.0,754
146,146.0,670
147,147.0,608
148,148.0,581
149,149.0,515
150,150.0,448
151,151.0,383
152,152.0,294
153,153.0,241
154,154.0,206
155,155.0,171
156,156.0,144
157,157.0,117
158,158.0,107
159,159.0,88
160,160.0,47
161,161.0,45
162,162.0,48
163,163.0,43
164,164.0,36
165,165.0,32
166,166.0,35
167,167.0,37
168,168.0,40
169,169.0,35
170,170.0,27
171,171.0,39
172,172.0,37
173,173.0,35
174,174.0,39
175,175.0,20
