Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.56
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:,0.0,1.0
Calibration Channels:,373,630
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,151.21
Elapsed Live Time:,150.0
Start Time:,March 06, 2026, 01:41:31
End Time:,March 06, 2026, 01:44:02
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,0.0,0
1,1.0,0
2,2.0,0
3,3.0,0
4,4.0,0
5,5.0,0
6,6.0,0
7,7.0,0
8,8.0,0
9,9.0,0
10,10.0,0
11,11.0,0
12,12.0,0
13,13.0,0
14,14.0,0
15,15.0,13
16,16.0,29
17,17.0,37
18,18.0,41
19,19.0,40
20,20.0,47
21,21.0,52
22,22.0,49
23,23.0,60
24,24.0,79
25,25.0,75
26,26.0,82
27,27.0,85
28,28.0,102
29,29.0,105
30,30.0,99
31,31.0,104
32,32.0,108
33,33.0,112
34,34.0,91
35,35.0,120
36,36.0,98
37,37.0,116
38,38.0,105
39,39.0,91
40,40.0,95
41,41.0,103
42,42.0,117
43,43.0,87
44,44.0,84
45,45.0,71
46,46.0,88
47,47.0,97
48,48.0,81
49,49.0,88
50,50.0,72
51,51.0,59
52,52.0,80
53,53.0,61
54,54.0,70
55,55.0,73
56,56.0,68
57,57.0,82
58,58.0,78
59,59.0,97
60,60.0,86
61,61.0,87
62,62.0,81
63,63.0,85
64,64.0,83
65,65.0,88
66,66.0,98
67,67.0,109
68,68.0,106
69,69.0,146
70,70.0,141
71,71.0,128
72,72.0,162
73,73.0,200
74,74.0,218
75,75.0,233
76,76.0,322
77,77.0,314
78,78.0,370
79,79.0,381
80,80.0,394
81,81.0,417
82,82.0,422
83,83.0,392
84,84.0,379
85,85.0,374
86,86.0,344
87,87.0,354
88,88.0,425
89,89.0,467
90,90.0,497
91,91.0,587
92,92.0,584
93,93.0,581
94,94.0,569
95,95.0,620
96,96.0,593
97,97.0,598
98,98.0,543
99,99.0,520
100,100.0,514
101,101.0,494
102,102.0,402
103,103.0,442
104,104.0,358
105,105.0,373
106,106.0,365
107,107.0,376
108,108.0,323
109,109.0,329
110,110.0,345
111,111.0,360
112,112.0,333
113,113.0,381
114,114.0,413
115,115.0,461
116,116.0,509
117,117.0,604
118,118.0,721
119,119.0,850
120,120.0,1117
121,121.0,1427
122,122.0,1853
123,123.0,2178
124,124.0,2748
125,125.0,3163
126,126.0,3876
127,127.0,4376
128,128.0,4916
129,129.0,5136
130,130.0,5169
131,131.0,5293
132,132.0,5032
133,133.0,4691
134,134.0,4117
135,135.0,3576
136,136.0,3240
137,137.0,2612
138,138.0,2199
139,139.0,1785
140,140.0,1463
141,141.0,1200
142,142.0,1065
143,143.0,953
144,144.0,873
145,145.0,764
146,146.0,673
147,147.0,649
148,148.0,556
149,149.0,530
150,150.0,463
151,151.0,402
152,152.0,314
153,153.0,259
154,154.0,240
155,155.0,162
156,156.0,145
157,157.0,113
158,158.0,95
159,159.0,73
160,160.0,51
161,161.0,41
162,162.0,33
163,163.0,43
164,164.0,40
165,165.0,39
166,166.0,38
167,167.0,41
168,168.0,45
169,169.0,32
170,170.0,36
171,171.0,33
172,172.0,39
173,173.0,38
174,174.0,26
175,175.0,28
