Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.56
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:,0.0,1.0
Calibration Channels:,373,630
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,153.13
Elapsed Live Time:,150.0
Start Time:,March 06, 2026, 01:18:02
End Time:,March 06, 2026, 01:20:36
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,0.0,0
1,1.0,0
2,2.0,0
3,3.0,0
4,4.0,0
5,5.0,0
6,6.0,0
7,7.0,0
8,8.0,0
9,9.0,0
10,10.0,0
11,11.0,2
12,12.0,0
13,13.0,0
14,14.0,0
15,15.0,67
16,16.0,235
17,17.0,245
18,18.0,265
19,19.0,306
20,20.0,291
21,21.0,314
22,22.0,368
23,23.0,351
24,24.0,356
25,25.0,356
26,26.0,395
27,27.0,379
28,28.0,410
29,29.0,414
30,30.0,440
31,31.0,449
32,32.0,468
33,33.0,440
34,34.0,386
35,35.0,413
36,36.0,408
37,37.0,426
38,38.0,440
39,39.0,420
40,40.0,416
41,41.0,424
42,42.0,459
43,43.0,413
44,44.0,448
45,45.0,438
46,46.0,480
47,47.0,429
48,48.0,454
49,49.0,412
50,50.0,420
51,51.0,417
52,52.0,423
53,53.0,399
54,54.0,387
55,55.0,378
56,56.0,384
57,57.0,407
58,58.0,425
59,59.0,391
60,60.0,363
61,61.0,414
62,62.0,416
63,63.0,412
64,64.0,404
65,65.0,399
66,66.0,387
67,67.0,408
68,68.0,408
69,69.0,414
70,70.0,415
71,71.0,455
72,72.0,456
73,73.0,492
74,74.0,575
75,75.0,581
76,76.0,592
77,77.0,695
78,78.0,709
79,79.0,787
80,80.0,775
81,81.0,822
82,82.0,839
83,83.0,798
84,84.0,728
85,85.0,690
86,86.0,612
87,87.0,593
88,88.0,572
89,89.0,587
90,90.0,570
91,91.0,528
92,92.0,564
93,93.0,549
94,94.0,522
95,95.0,514
96,96.0,503
97,97.0,462
98,98.0,476
99,99.0,424
100,100.0,391
101,101.0,438
102,102.0,443
103,103.0,379
104,104.0,372
105,105.0,365
106,106.0,390
107,107.0,380
108,108.0,377
109,109.0,382
110,110.0,373
111,111.0,403
112,112.0,380
113,113.0,379
114,114.0,333
115,115.0,422
116,116.0,385
117,117.0,397
118,118.0,383
119,119.0,400
120,120.0,410
121,121.0,377
122,122.0,394
123,123.0,385
124,124.0,378
125,125.0,411
126,126.0,381
127,127.0,413
128,128.0,376
129,129.0,413
130,130.0,433
131,131.0,418
132,132.0,419
133,133.0,385
134,134.0,387
135,135.0,385
136,136.0,385
137,137.0,383
138,138.0,404
139,139.0,391
140,140.0,393
141,141.0,407
142,142.0,385
143,143.0,385
144,144.0,399
145,145.0,423
146,146.0,403
147,147.0,372
148,148.0,378
149,149.0,384
150,150.0,402
151,151.0,388
152,152.0,413
153,153.0,391
154,154.0,380
155,155.0,387
156,156.0,389
157,157.0,366
158,158.0,405
159,159.0,391
160,160.0,391
161,161.0,440
162,162.0,376
163,163.0,395
164,164.0,382
165,165.0,384
166,166.0,406
167,167.0,389
168,168.0,393
169,169.0,369
170,170.0,396
171,171.0,410
172,172.0,437
173,173.0,436
174,174.0,405
175,175.0,426
176,176.0,428
177,177.0,457
178,178.0,476
