Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.56
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:,0.0,1.0
Calibration Channels:,373,630
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,155.57
Elapsed Live Time:,150.0
Start Time:,March 06, 2026, 02:41:16
End Time:,March 06, 2026, 02:43:52
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,0.0,0
1,1.0,0
2,2.0,0
3,3.0,0
4,4.0,0
5,5.0,0
6,6.0,0
7,7.0,0
8,8.0,0
9,9.0,0
10,10.0,0
11,11.0,0
12,12.0,2
13,13.0,0
14,14.0,2
15,15.0,141
16,16.0,608
17,17.0,617
18,18.0,537
19,19.0,546
20,20.0,589
21,21.0,616
22,22.0,729
23,23.0,777
24,24.0,823
25,25.0,878
26,26.0,940
27,27.0,1093
28,28.0,1292
29,29.0,1437
30,30.0,1568
31,31.0,1863
32,32.0,2321
33,33.0,2750
34,34.0,3501
35,35.0,4745
36,36.0,6300
37,37.0,8707
38,38.0,11840
39,39.0,14771
40,40.0,17475
41,41.0,18634
42,42.0,17772
43,43.0,15230
44,44.0,12202
45,45.0,9280
46,46.0,7406
47,47.0,6162
48,48.0,5636
49,49.0,4844
50,50.0,4213
51,51.0,3181
52,52.0,2379
53,53.0,1628
54,54.0,1124
55,55.0,800
56,56.0,620
57,57.0,522
58,58.0,492
59,59.0,433
60,60.0,501
61,61.0,435
62,62.0,444
63,63.0,429
64,64.0,411
65,65.0,426
66,66.0,398
67,67.0,386
68,68.0,417
69,69.0,425
70,70.0,467
71,71.0,505
72,72.0,513
73,73.0,575
74,74.0,704
75,75.0,661
76,76.0,745
77,77.0,845
78,78.0,940
79,79.0,944
80,80.0,978
81,81.0,1032
82,82.0,1014
83,83.0,905
84,84.0,922
85,85.0,927
86,86.0,934
87,87.0,996
88,88.0,1037
89,89.0,1090
90,90.0,1188
91,91.0,1221
92,92.0,1130
93,93.0,1204
94,94.0,1072
95,95.0,1127
96,96.0,1066
97,97.0,956
98,98.0,937
99,99.0,870
100,100.0,833
101,101.0,769
102,102.0,718
103,103.0,709
104,104.0,662
105,105.0,619
106,106.0,600
107,107.0,623
108,108.0,576
109,109.0,545
110,110.0,598
111,111.0,576
112,112.0,590
113,113.0,644
114,114.0,667
115,115.0,731
116,116.0,856
117,117.0,927
118,118.0,1132
119,119.0,1399
120,120.0,1547
121,121.0,1972
122,122.0,2485
123,123.0,2957
124,124.0,3500
125,125.0,4268
126,126.0,4700
127,127.0,5286
128,128.0,5597
129,129.0,5771
130,130.0,5930
131,131.0,5732
132,132.0,5413
133,133.0,4732
134,134.0,4285
135,135.0,3716
136,136.0,3217
137,137.0,2677
138,138.0,2132
139,139.0,1685
140,140.0,1323
141,141.0,1051
142,142.0,851
143,143.0,727
144,144.0,644
145,145.0,575
146,146.0,546
147,147.0,481
148,148.0,461
149,149.0,476
150,150.0,433
151,151.0,405
152,152.0,403
153,153.0,416
154,154.0,389
155,155.0,385
156,156.0,410
157,157.0,406
158,158.0,377
159,159.0,404
160,160.0,438
161,161.0,418
162,162.0,436
163,163.0,440
164,164.0,451
165,165.0,436
166,166.0,473
167,167.0,475
168,168.0,477
169,169.0,546
170,170.0,602
